cod_ibge,municipio,ano,idade_mae,nascimentos
2300101,Abaiara - CE,2014,Total,125.0
2300101,Abaiara - CE,2014,Menos de 15 anos,2.0
2300101,Abaiara - CE,2014,15 a 19 anos,32.0
2300101,Abaiara - CE,2014,20 a 24 anos,35.0
2300101,Abaiara - CE,2014,25 a 29 anos,28.0
2300101,Abaiara - CE,2014,30 a 34 anos,16.0
2300101,Abaiara - CE,2014,35 a 39 anos,9.0
2300101,Abaiara - CE,2014,40 a 44 anos,3.0
2300101,Abaiara - CE,2014,45 a 49 anos,
2300101,Abaiara - CE,2014,50 anos ou mais,
2300101,Abaiara - CE,2014,Ignorada,
2300101,Abaiara - CE,2015,Total,132.0
2300101,Abaiara - CE,2015,Menos de 15 anos,3.0
2300101,Abaiara - CE,2015,15 a 19 anos,22.0
2300101,Abaiara - CE,2015,20 a 24 anos,44.0
2300101,Abaiara - CE,2015,25 a 29 anos,30.0
2300101,Abaiara - CE,2015,30 a 34 anos,25.0
2300101,Abaiara - CE,2015,35 a 39 anos,8.0
2300101,Abaiara - CE,2015,40 a 44 anos,
2300101,Abaiara - CE,2015,45 a 49 anos,
2300101,Abaiara - CE,2015,50 anos ou mais,
2300101,Abaiara - CE,2015,Ignorada,
2300101,Abaiara - CE,2016,Total,105.0
2300101,Abaiara - CE,2016,Menos de 15 anos,1.0
2300101,Abaiara - CE,2016,15 a 19 anos,19.0
2300101,Abaiara - CE,2016,20 a 24 anos,26.0
2300101,Abaiara - CE,2016,25 a 29 anos,31.0
2300101,Abaiara - CE,2016,30 a 34 anos,16.0
2300101,Abaiara - CE,2016,35 a 39 anos,9.0
2300101,Abaiara - CE,2016,40 a 44 anos,3.0
2300101,Abaiara - CE,2016,45 a 49 anos,
2300101,Abaiara - CE,2016,50 anos ou mais,
2300101,Abaiara - CE,2016,Ignorada,
2300101,Abaiara - CE,2017,Total,117.0
2300101,Abaiara - CE,2017,Menos de 15 anos,3.0
2300101,Abaiara - CE,2017,15 a 19 anos,27.0
2300101,Abaiara - CE,2017,20 a 24 anos,26.0
2300101,Abaiara - CE,2017,25 a 29 anos,32.0
2300101,Abaiara - CE,2017,30 a 34 anos,19.0
2300101,Abaiara - CE,2017,35 a 39 anos,6.0
2300101,Abaiara - CE,2017,40 a 44 anos,4.0
2300101,Abaiara - CE,2017,45 a 49 anos,
2300101,Abaiara - CE,2017,50 anos ou mais,
2300101,Abaiara - CE,2017,Ignorada,
2300101,Abaiara - CE,2018,Total,144.0
2300101,Abaiara - CE,2018,Menos de 15 anos,
2300101,Abaiara - CE,2018,15 a 19 anos,34.0
2300101,Abaiara - CE,2018,20 a 24 anos,49.0
2300101,Abaiara - CE,2018,25 a 29 anos,27.0
2300101,Abaiara - CE,2018,30 a 34 anos,19.0
2300101,Abaiara - CE,2018,35 a 39 anos,14.0
2300101,Abaiara - CE,2018,40 a 44 anos,1.0
2300101,Abaiara - CE,2018,45 a 49 anos,
2300101,Abaiara - CE,2018,50 anos ou mais,
2300101,Abaiara - CE,2018,Ignorada,
2300101,Abaiara - CE,2019,Total,137.0
2300101,Abaiara - CE,2019,Menos de 15 anos,1.0
2300101,Abaiara - CE,2019,15 a 19 anos,20.0
2300101,Abaiara - CE,2019,20 a 24 anos,40.0
2300101,Abaiara - CE,2019,25 a 29 anos,29.0
2300101,Abaiara - CE,2019,30 a 34 anos,28.0
2300101,Abaiara - CE,2019,35 a 39 anos,14.0
2300101,Abaiara - CE,2019,40 a 44 anos,4.0
2300101,Abaiara - CE,2019,45 a 49 anos,1.0
2300101,Abaiara - CE,2019,50 anos ou mais,
2300101,Abaiara - CE,2019,Ignorada,
2300150,Acarape - CE,2014,Total,243.0
2300150,Acarape - CE,2014,Menos de 15 anos,6.0
2300150,Acarape - CE,2014,15 a 19 anos,41.0
2300150,Acarape - CE,2014,20 a 24 anos,72.0
2300150,Acarape - CE,2014,25 a 29 anos,55.0
2300150,Acarape - CE,2014,30 a 34 anos,45.0
2300150,Acarape - CE,2014,35 a 39 anos,19.0
2300150,Acarape - CE,2014,40 a 44 anos,5.0
2300150,Acarape - CE,2014,45 a 49 anos,
2300150,Acarape - CE,2014,50 anos ou mais,
2300150,Acarape - CE,2014,Ignorada,
2300150,Acarape - CE,2015,Total,234.0
2300150,Acarape - CE,2015,Menos de 15 anos,1.0
2300150,Acarape - CE,2015,15 a 19 anos,57.0
2300150,Acarape - CE,2015,20 a 24 anos,63.0
2300150,Acarape - CE,2015,25 a 29 anos,59.0
2300150,Acarape - CE,2015,30 a 34 anos,31.0
2300150,Acarape - CE,2015,35 a 39 anos,19.0
2300150,Acarape - CE,2015,40 a 44 anos,3.0
2300150,Acarape - CE,2015,45 a 49 anos,1.0
2300150,Acarape - CE,2015,50 anos ou mais,
2300150,Acarape - CE,2015,Ignorada,
2300150,Acarape - CE,2016,Total,220.0
2300150,Acarape - CE,2016,Menos de 15 anos,
2300150,Acarape - CE,2016,15 a 19 anos,37.0
2300150,Acarape - CE,2016,20 a 24 anos,69.0
2300150,Acarape - CE,2016,25 a 29 anos,54.0
2300150,Acarape - CE,2016,30 a 34 anos,31.0
2300150,Acarape - CE,2016,35 a 39 anos,25.0
2300150,Acarape - CE,2016,40 a 44 anos,3.0
2300150,Acarape - CE,2016,45 a 49 anos,
2300150,Acarape - CE,2016,50 anos ou mais,
2300150,Acarape - CE,2016,Ignorada,1.0
2300150,Acarape - CE,2017,Total,204.0
2300150,Acarape - CE,2017,Menos de 15 anos,2.0
2300150,Acarape - CE,2017,15 a 19 anos,33.0
2300150,Acarape - CE,2017,20 a 24 anos,61.0
2300150,Acarape - CE,2017,25 a 29 anos,45.0
2300150,Acarape - CE,2017,30 a 34 anos,35.0
2300150,Acarape - CE,2017,35 a 39 anos,24.0
2300150,Acarape - CE,2017,40 a 44 anos,4.0
2300150,Acarape - CE,2017,45 a 49 anos,
2300150,Acarape - CE,2017,50 anos ou mais,
2300150,Acarape - CE,2017,Ignorada,
2300150,Acarape - CE,2018,Total,211.0
2300150,Acarape - CE,2018,Menos de 15 anos,2.0
2300150,Acarape - CE,2018,15 a 19 anos,31.0
2300150,Acarape - CE,2018,20 a 24 anos,74.0
2300150,Acarape - CE,2018,25 a 29 anos,46.0
2300150,Acarape - CE,2018,30 a 34 anos,37.0
2300150,Acarape - CE,2018,35 a 39 anos,13.0
2300150,Acarape - CE,2018,40 a 44 anos,8.0
2300150,Acarape - CE,2018,45 a 49 anos,
2300150,Acarape - CE,2018,50 anos ou mais,
2300150,Acarape - CE,2018,Ignorada,
2300150,Acarape - CE,2019,Total,239.0
2300150,Acarape - CE,2019,Menos de 15 anos,4.0
2300150,Acarape - CE,2019,15 a 19 anos,38.0
2300150,Acarape - CE,2019,20 a 24 anos,73.0
2300150,Acarape - CE,2019,25 a 29 anos,63.0
2300150,Acarape - CE,2019,30 a 34 anos,39.0
2300150,Acarape - CE,2019,35 a 39 anos,17.0
2300150,Acarape - CE,2019,40 a 44 anos,5.0
2300150,Acarape - CE,2019,45 a 49 anos,
2300150,Acarape - CE,2019,50 anos ou mais,
2300150,Acarape - CE,2019,Ignorada,
2300200,Acaraú - CE,2014,Total,947.0
2300200,Acaraú - CE,2014,Menos de 15 anos,8.0
2300200,Acaraú - CE,2014,15 a 19 anos,209.0
2300200,Acaraú - CE,2014,20 a 24 anos,256.0
2300200,Acaraú - CE,2014,25 a 29 anos,219.0
2300200,Acaraú - CE,2014,30 a 34 anos,158.0
2300200,Acaraú - CE,2014,35 a 39 anos,80.0
2300200,Acaraú - CE,2014,40 a 44 anos,14.0
2300200,Acaraú - CE,2014,45 a 49 anos,3.0
2300200,Acaraú - CE,2014,50 anos ou mais,
2300200,Acaraú - CE,2014,Ignorada,
2300200,Acaraú - CE,2015,Total,1029.0
2300200,Acaraú - CE,2015,Menos de 15 anos,19.0
2300200,Acaraú - CE,2015,15 a 19 anos,201.0
2300200,Acaraú - CE,2015,20 a 24 anos,246.0
2300200,Acaraú - CE,2015,25 a 29 anos,246.0
2300200,Acaraú - CE,2015,30 a 34 anos,188.0
2300200,Acaraú - CE,2015,35 a 39 anos,98.0
2300200,Acaraú - CE,2015,40 a 44 anos,28.0
2300200,Acaraú - CE,2015,45 a 49 anos,3.0
2300200,Acaraú - CE,2015,50 anos ou mais,
2300200,Acaraú - CE,2015,Ignorada,
2300200,Acaraú - CE,2016,Total,960.0
2300200,Acaraú - CE,2016,Menos de 15 anos,4.0
