cod_ibge,municipio,ano,nascimentos
2300101,Abaiara - CE,2014,125
2300101,Abaiara - CE,2015,132
2300101,Abaiara - CE,2016,105
2300101,Abaiara - CE,2017,117
2300101,Abaiara - CE,2018,144
2300101,Abaiara - CE,2019,137
2300150,Acarape - CE,2014,243
2300150,Acarape - CE,2015,234
2300150,Acarape - CE,2016,220
2300150,Acarape - CE,2017,204
2300150,Acarape - CE,2018,211
2300150,Acarape - CE,2019,239
2300200,Acaraú - CE,2014,947
2300200,Acaraú - CE,2015,1029
2300200,Acaraú - CE,2016,960
2300200,Acaraú - CE,2017,1004
2300200,Acaraú - CE,2018,1026
2300200,Acaraú - CE,2019,1034
2300309,Acopiara - CE,2014,578
2300309,Acopiara - CE,2015,645
2300309,Acopiara - CE,2016,570
2300309,Acopiara - CE,2017,565
2300309,Acopiara - CE,2018,587
2300309,Acopiara - CE,2019,620
2300408,Aiuaba - CE,2014,147
2300408,Aiuaba - CE,2015,166
2300408,Aiuaba - CE,2016,178
2300408,Aiuaba - CE,2017,180
2300408,Aiuaba - CE,2018,195
2300408,Aiuaba - CE,2019,170
2300507,Alcântaras - CE,2014,150
2300507,Alcântaras - CE,2015,170
2300507,Alcântaras - CE,2016,152
2300507,Alcântaras - CE,2017,135
2300507,Alcântaras - CE,2018,145
2300507,Alcântaras - CE,2019,155
2300606,Altaneira - CE,2014,92
2300606,Altaneira - CE,2015,48
2300606,Altaneira - CE,2016,107
2300606,Altaneira - CE,2017,124
2300606,Altaneira - CE,2018,124
2300606,Altaneira - CE,2019,132
2300705,Alto Santo - CE,2014,189
2300705,Alto Santo - CE,2015,212
2300705,Alto Santo - CE,2016,213
2300705,Alto Santo - CE,2017,186
2300705,Alto Santo - CE,2018,190
2300705,Alto Santo - CE,2019,179
2300754,Amontada - CE,2014,620
2300754,Amontada - CE,2015,543
2300754,Amontada - CE,2016,582
2300754,Amontada - CE,2017,691
2300754,Amontada - CE,2018,733
2300754,Amontada - CE,2019,663
2300804,Antonina do Norte - CE,2014,99
2300804,Antonina do Norte - CE,2015,75
2300804,Antonina do Norte - CE,2016,90
2300804,Antonina do Norte - CE,2017,94
2300804,Antonina do Norte - CE,2018,98
2300804,Antonina do Norte - CE,2019,105
2300903,Apuiarés - CE,2014,148
2300903,Apuiarés - CE,2015,159
2300903,Apuiarés - CE,2016,139
2300903,Apuiarés - CE,2017,160
2300903,Apuiarés - CE,2018,138
2300903,Apuiarés - CE,2019,180
2301000,Aquiraz - CE,2014,967
2301000,Aquiraz - CE,2015,1138
2301000,Aquiraz - CE,2016,1025
2301000,Aquiraz - CE,2017,1005
2301000,Aquiraz - CE,2018,1130
2301000,Aquiraz - CE,2019,1099
2301109,Aracati - CE,2014,995
2301109,Aracati - CE,2015,1164
2301109,Aracati - CE,2016,1024
2301109,Aracati - CE,2017,1003
2301109,Aracati - CE,2018,985
2301109,Aracati - CE,2019,1015
2301208,Aracoiaba - CE,2014,360
2301208,Aracoiaba - CE,2015,354
2301208,Aracoiaba - CE,2016,298
2301208,Aracoiaba - CE,2017,312
2301208,Aracoiaba - CE,2018,406
2301208,Aracoiaba - CE,2019,347
2301257,Ararendá - CE,2014,136
2301257,Ararendá - CE,2015,103
2301257,Ararendá - CE,2016,116
2301257,Ararendá - CE,2017,129
2301257,Ararendá - CE,2018,161
2301257,Ararendá - CE,2019,152
2301307,Araripe - CE,2014,362
2301307,Araripe - CE,2015,355
2301307,Araripe - CE,2016,354
2301307,Araripe - CE,2017,389
2301307,Araripe - CE,2018,372
2301307,Araripe - CE,2019,355
2301406,Aratuba - CE,2014,108
2301406,Aratuba - CE,2015,96
2301406,Aratuba - CE,2016,108
2301406,Aratuba - CE,2017,174
2301406,Aratuba - CE,2018,183
2301406,Aratuba - CE,2019,180
2301505,Arneiroz - CE,2014,84
2301505,Arneiroz - CE,2015,99
2301505,Arneiroz - CE,2016,69
2301505,Arneiroz - CE,2017,86
2301505,Arneiroz - CE,2018,90
2301505,Arneiroz - CE,2019,117
2301604,Assaré - CE,2014,263
2301604,Assaré - CE,2015,235
2301604,Assaré - CE,2016,242
2301604,Assaré - CE,2017,253
2301604,Assaré - CE,2018,284
2301604,Assaré - CE,2019,291
2301703,Aurora - CE,2014,288
2301703,Aurora - CE,2015,351
2301703,Aurora - CE,2016,307
2301703,Aurora - CE,2017,311
2301703,Aurora - CE,2018,303
2301703,Aurora - CE,2019,300
2301802,Baixio - CE,2014,61
2301802,Baixio - CE,2015,80
2301802,Baixio - CE,2016,52
2301802,Baixio - CE,2017,77
2301802,Baixio - CE,2018,83
2301802,Baixio - CE,2019,67
2301851,Banabuiú - CE,2014,214
2301851,Banabuiú - CE,2015,235
2301851,Banabuiú - CE,2016,261
2301851,Banabuiú - CE,2017,238
2301851,Banabuiú - CE,2018,266
2301851,Banabuiú - CE,2019,240
2301901,Barbalha - CE,2014,1777
2301901,Barbalha - CE,2015,1385
2301901,Barbalha - CE,2016,1376
2301901,Barbalha - CE,2017,1170
2301901,Barbalha - CE,2018,1190
2301901,Barbalha - CE,2019,1240
2301950,Barreira - CE,2014,324
2301950,Barreira - CE,2015,339
2301950,Barreira - CE,2016,310
2301950,Barreira - CE,2017,322
2301950,Barreira - CE,2018,353
2301950,Barreira - CE,2019,356
2302008,Barro - CE,2014,263
2302008,Barro - CE,2015,232
2302008,Barro - CE,2016,219
2302008,Barro - CE,2017,265
2302008,Barro - CE,2018,246
2302008,Barro - CE,2019,231
2302057,Barroquinha - CE,2014,197
2302057,Barroquinha - CE,2015,193
2302057,Barroquinha - CE,2016,231
2302057,Barroquinha - CE,2017,216
2302057,Barroquinha - CE,2018,224
2302057,Barroquinha - CE,2019,224
2302107,Baturité - CE,2014,606
2302107,Baturité - CE,2015,570
2302107,Baturité - CE,2016,516
2302107,Baturité - CE,2017,453
2302107,Baturité - CE,2018,531
2302107,Baturité - CE,2019,522
2302206,Beberibe - CE,2014,607
2302206,Beberibe - CE,2015,613
2302206,Beberibe - CE,2016,650
2302206,Beberibe - CE,2017,576
2302206,Beberibe - CE,2018,630
2302206,Beberibe - CE,2019,648
2302305,Bela Cruz - CE,2014,385
2302305,Bela Cruz - CE,2015,453
2302305,Bela Cruz - CE,2016,401
2302305,Bela Cruz - CE,2017,389
2302305,Bela Cruz - CE,2018,400
2302305,Bela Cruz - CE,2019,408
2302404,Boa Viagem - CE,2014,657
2302404,Boa Viagem - CE,2015,651
2302404,Boa Viagem - CE,2016,596
2302404,Boa Viagem - CE,2017,638
2302404,Boa Viagem - CE,2018,722
2302404,Boa Viagem - CE,2019,571
2302503,Brejo Santo - CE,2014,794
2302503,Brejo Santo - CE,2015,911
2302503,Brejo Santo - CE,2016,764
2302503,Brejo Santo - CE,2017,778
2302503,Brejo Santo - CE,2018,877
2302503,Brejo Santo - CE,2019,833
2302602,Camocim - CE,2014,902
2302602,Camocim - CE,2015,884
2302602,Camocim - CE,2016,908
2302602,Camocim - CE,2017,957
2302602,Camocim - CE,2018,960
2302602,Camocim - CE,2019,984
2302701,Campos Sales - CE,2014,353
2302701,Campos Sales - CE,2015,361
2302701,Campos Sales - CE,2016,349
2302701,Campos Sales - CE,2017,356
2302701,Campos Sales - CE,2018,365
2302701,Campos Sales - CE,2019,420
2302800,Canindé - CE,2014,1199
2302800,Canindé - CE,2015,1211
2302800,Canindé - CE,2016,1096
2302800,Canindé - CE,2017,1159
2302800,Canindé - CE,2018,1102
2302800,Canindé - CE,2019,821
2302909,Capistrano - CE,2014,268
2302909,Capistrano - CE,2015,310
