cod_ibge,municipio,ano,obitos
2300101,Abaiara - CE,2014,41
2300101,Abaiara - CE,2015,42
2300101,Abaiara - CE,2016,65
2300150,Acarape - CE,2014,58
2300150,Acarape - CE,2015,74
2300150,Acarape - CE,2016,92
2300200,Acaraú - CE,2014,283
2300200,Acaraú - CE,2015,326
2300200,Acaraú - CE,2016,305
2300309,Acopiara - CE,2014,315
2300309,Acopiara - CE,2015,321
2300309,Acopiara - CE,2016,367
2300408,Aiuaba - CE,2014,72
2300408,Aiuaba - CE,2015,83
2300408,Aiuaba - CE,2016,79
2300507,Alcântaras - CE,2014,60
2300507,Alcântaras - CE,2015,85
2300507,Alcântaras - CE,2016,69
2300606,Altaneira - CE,2014,51
2300606,Altaneira - CE,2015,4
2300606,Altaneira - CE,2016,48
2300705,Alto Santo - CE,2014,75
2300705,Alto Santo - CE,2015,78
2300705,Alto Santo - CE,2016,90
2300754,Amontada - CE,2014,158
2300754,Amontada - CE,2015,155
2300754,Amontada - CE,2016,154
2300804,Antonina do Norte - CE,2014,51
2300804,Antonina do Norte - CE,2015,28
2300804,Antonina do Norte - CE,2016,60
2300903,Apuiarés - CE,2014,56
2300903,Apuiarés - CE,2015,88
2300903,Apuiarés - CE,2016,89
2301000,Aquiraz - CE,2014,309
2301000,Aquiraz - CE,2015,400
2301000,Aquiraz - CE,2016,406
2301109,Aracati - CE,2014,345
2301109,Aracati - CE,2015,345
2301109,Aracati - CE,2016,382
2301208,Aracoiaba - CE,2014,144
2301208,Aracoiaba - CE,2015,184
2301208,Aracoiaba - CE,2016,170
2301257,Ararendá - CE,2014,73
2301257,Ararendá - CE,2015,102
2301257,Ararendá - CE,2016,74
2301307,Araripe - CE,2014,123
2301307,Araripe - CE,2015,127
2301307,Araripe - CE,2016,146
2301406,Aratuba - CE,2014,65
2301406,Aratuba - CE,2015,72
2301406,Aratuba - CE,2016,73
2301505,Arneiroz - CE,2014,33
2301505,Arneiroz - CE,2015,53
2301505,Arneiroz - CE,2016,39
2301604,Assaré - CE,2014,128
2301604,Assaré - CE,2015,123
2301604,Assaré - CE,2016,148
2301703,Aurora - CE,2014,141
2301703,Aurora - CE,2015,132
2301703,Aurora - CE,2016,160
2301802,Baixio - CE,2014,27
2301802,Baixio - CE,2015,36
2301802,Baixio - CE,2016,29
2301851,Banabuiú - CE,2014,67
2301851,Banabuiú - CE,2015,86
2301851,Banabuiú - CE,2016,97
2301901,Barbalha - CE,2014,365
2301901,Barbalha - CE,2015,400
2301901,Barbalha - CE,2016,412
2301950,Barreira - CE,2014,96
2301950,Barreira - CE,2015,126
2301950,Barreira - CE,2016,135
2302008,Barro - CE,2014,111
2302008,Barro - CE,2015,136
2302008,Barro - CE,2016,122
2302057,Barroquinha - CE,2014,70
2302057,Barroquinha - CE,2015,71
2302057,Barroquinha - CE,2016,85
2302107,Baturité - CE,2014,148
2302107,Baturité - CE,2015,204
2302107,Baturité - CE,2016,234
2302206,Beberibe - CE,2014,213
2302206,Beberibe - CE,2015,266
2302206,Beberibe - CE,2016,279
2302305,Bela Cruz - CE,2014,144
2302305,Bela Cruz - CE,2015,158
2302305,Bela Cruz - CE,2016,167
2302404,Boa Viagem - CE,2014,332
2302404,Boa Viagem - CE,2015,348
2302404,Boa Viagem - CE,2016,364
2302503,Brejo Santo - CE,2014,261
2302503,Brejo Santo - CE,2015,273
2302503,Brejo Santo - CE,2016,259
2302602,Camocim - CE,2014,318
2302602,Camocim - CE,2015,355
2302602,Camocim - CE,2016,321
2302701,Campos Sales - CE,2014,164
2302701,Campos Sales - CE,2015,182
2302701,Campos Sales - CE,2016,191
2302800,Canindé - CE,2014,405
2302800,Canindé - CE,2015,459
2302800,Canindé - CE,2016,515
2302909,Capistrano - CE,2014,78
2302909,Capistrano - CE,2015,107
2302909,Capistrano - CE,2016,123
2303006,Caridade - CE,2014,118
2303006,Caridade - CE,2015,100
2303006,Caridade - CE,2016,119
2303105,Cariré - CE,2014,122
2303105,Cariré - CE,2015,113
2303105,Cariré - CE,2016,134
2303204,Caririaçu - CE,2014,145
2303204,Caririaçu - CE,2015,121
2303204,Caririaçu - CE,2016,151
2303303,Cariús - CE,2014,103
2303303,Cariús - CE,2015,103
2303303,Cariús - CE,2016,114
2303402,Carnaubal - CE,2014,97
2303402,Carnaubal - CE,2015,80
2303402,Carnaubal - CE,2016,98
2303501,Cascavel - CE,2014,339
2303501,Cascavel - CE,2015,365
2303501,Cascavel - CE,2016,293
2303600,Catarina - CE,2014,76
2303600,Catarina - CE,2015,63
2303600,Catarina - CE,2016,86
2303659,Catunda - CE,2014,74
2303659,Catunda - CE,2015,41
2303659,Catunda - CE,2016,60
2303709,Caucaia - CE,2014,1226
2303709,Caucaia - CE,2015,1646
2303709,Caucaia - CE,2016,1698
2303808,Cedro - CE,2014,159
2303808,Cedro - CE,2015,142
2303808,Cedro - CE,2016,167
2303907,Chaval - CE,2014,56
2303907,Chaval - CE,2015,76
2303907,Chaval - CE,2016,77
2303931,Choró - CE,2014,61
2303931,Choró - CE,2015,69
2303931,Choró - CE,2016,60
2303956,Chorozinho - CE,2014,102
2303956,Chorozinho - CE,2015,122
2303956,Chorozinho - CE,2016,116
2304004,Coreaú - CE,2014,126
2304004,Coreaú - CE,2015,137
2304004,Coreaú - CE,2016,140
2304103,Crateús - CE,2014,520
2304103,Crateús - CE,2015,516
2304103,Crateús - CE,2016,547
2304202,Crato - CE,2014,803
2304202,Crato - CE,2015,816
2304202,Crato - CE,2016,859
2304236,Croatá - CE,2014,121
2304236,Croatá - CE,2015,120
2304236,Croatá - CE,2016,107
2304251,Cruz - CE,2014,111
2304251,Cruz - CE,2015,145
2304251,Cruz - CE,2016,132
2304269,Deputado Irapuan Pinheiro - CE,2014,61
2304269,Deputado Irapuan Pinheiro - CE,2015,61
2304269,Deputado Irapuan Pinheiro - CE,2016,64
2304277,Ereré - CE,2014,39
2304277,Ereré - CE,2015,39
2304277,Ereré - CE,2016,34
2304285,Eusébio - CE,2014,205
2304285,Eusébio - CE,2015,279
2304285,Eusébio - CE,2016,255
2304301,Farias Brito - CE,2014,107
2304301,Farias Brito - CE,2015,94
2304301,Farias Brito - CE,2016,124
2304350,Forquilha - CE,2014,147
2304350,Forquilha - CE,2015,120
2304350,Forquilha - CE,2016,147
2304400,Fortaleza - CE,2014,16825
2304400,Fortaleza - CE,2015,16125
2304400,Fortaleza - CE,2016,15121
2304459,Fortim - CE,2014,80
2304459,Fortim - CE,2015,56
2304459,Fortim - CE,2016,75
2304509,Frecheirinha - CE,2014,83
2304509,Frecheirinha - CE,2015,100
2304509,Frecheirinha - CE,2016,101
2304608,General Sampaio - CE,2014,37
2304608,General Sampaio - CE,2015,39
2304608,General Sampaio - CE,2016,52
2304657,Graça - CE,2014,97
2304657,Graça - CE,2015,113
2304657,Graça - CE,2016,109
2304707,Granja - CE,2014,223
2304707,Granja - CE,2015,268
2304707,Granja - CE,2016,274
2304806,Granjeiro - CE,2014,22
2304806,Granjeiro - CE,2015,8
2304806,Granjeiro - CE,2016,24
2304905,Groaíras - CE,2014,65
2304905,Groaíras - CE,2015,86
2304905,Groaíras - CE,2016,62
2304954,Guaiúba - CE,2014,86
2304954,Guaiúba - CE,2015,128
2304954,Guaiúba - CE,2016,130
2305001,Guaraciaba do Norte - CE,2014,225
2305001,Guaraciaba do Norte - CE,2015,263
2305001,Guaraciaba do Norte - CE,2016,251
2305100,Guaramiranga - CE,2014,31
2305100,Guaramiranga - CE,2015,41
2305100,Guaramiranga - CE,2016,34
2305209,Hidrolândia - CE,2014,133
2305209,Hidrolândia - CE,2015,137
2305209,Hidrolândia - CE,2016,153
2305233,Horizonte - CE,2014,284
2305233,Horizonte - CE,2015,311
2305233,Horizonte - CE,2016,307
2305266,Ibaretama - CE,2014,67
2305266,Ibaretama - CE,2015,77
2305266,Ibaretama - CE,2016,80
2305308,Ibiapina - CE,2014,154
2305308,Ibiapina - CE,2015,156
2305308,Ibiapina - CE,2016,161
2305332,Ibicuitinga - CE,2014,64
2305332,Ibicuitinga - CE,2015,63
2305332,Ibicuitinga - CE,2016,65
2305357,Icapuí - CE,2014,78
2305357,Icapuí - CE,2015,88
2305357,Icapuí - CE,2016,94
2305407,Icó - CE,2014,424
2305407,Icó - CE,2015,406
2305407,Icó - CE,2016,411
2305506,Iguatu - CE,2014,590
2305506,Iguatu - CE,2015,608
2305506,Iguatu - CE,2016,667
2305605,Independência - CE,2014,172
2305605,Independência - CE,2015,188
2305605,Independência - CE,2016,165
2305654,Ipaporanga - CE,2014,78
2305654,Ipaporanga - CE,2015,87
2305654,Ipaporanga - CE,2016,90
2305704,Ipaumirim - CE,2014,79
2305704,Ipaumirim - CE,2015,71
2305704,Ipaumirim - CE,2016,80
2305803,Ipu - CE,2014,257
2305803,Ipu - CE,2015,265
2305803,Ipu - CE,2016,261
2305902,Ipueiras - CE,2014,276
2305902,Ipueiras - CE,2015,306
2305902,Ipueiras - CE,2016,285
2306009,Iracema - CE,2014,86
2306009,Iracema - CE,2015,115
2306009,Iracema - CE,2016,109
2306108,Irauçuba - CE,2014,97
2306108,Irauçuba - CE,2015,112
2306108,Irauçuba - CE,2016,131
2306207,Itaiçaba - CE,2014,41
2306207,Itaiçaba - CE,2015,41
2306207,Itaiçaba - CE,2016,45
2306256,Itaitinga - CE,2014,119
2306256,Itaitinga - CE,2015,229
2306256,Itaitinga - CE,2016,194
