cod_ibge,municipio,ano,populacao
2300101,Abaiara - CE,2014,11226
2300101,Abaiara - CE,2015,11357
2300101,Abaiara - CE,2016,11483
2300101,Abaiara - CE,2017,11605
2300101,Abaiara - CE,2018,11663
2300101,Abaiara - CE,2019,11737
2300101,Abaiara - CE,2020,11853
2300101,Abaiara - CE,2021,11965
2300101,Abaiara - CE,2024,10282
2300150,Acarape - CE,2014,16153
2300150,Acarape - CE,2015,16288
2300150,Acarape - CE,2016,16418
2300150,Acarape - CE,2017,16543
2300150,Acarape - CE,2018,15399
2300150,Acarape - CE,2019,14929
2300150,Acarape - CE,2020,15036
2300150,Acarape - CE,2021,15140
2300150,Acarape - CE,2024,14306
2300200,Acaraú - CE,2014,60684
2300200,Acaraú - CE,2015,61210
2300200,Acaraú - CE,2016,61715
2300200,Acaraú - CE,2017,62199
2300200,Acaraú - CE,2018,62557
2300200,Acaraú - CE,2019,62641
2300200,Acaraú - CE,2020,63104
2300200,Acaraú - CE,2021,63556
2300200,Acaraú - CE,2024,68758
2300309,Acopiara - CE,2014,52903
2300309,Acopiara - CE,2015,53135
2300309,Acopiara - CE,2016,53358
2300309,Acopiara - CE,2017,53572
2300309,Acopiara - CE,2018,53931
2300309,Acopiara - CE,2019,54270
2300309,Acopiara - CE,2020,54481
2300309,Acopiara - CE,2021,54687
2300309,Acopiara - CE,2024,46215
2300408,Aiuaba - CE,2014,16893
2300408,Aiuaba - CE,2015,16997
2300408,Aiuaba - CE,2016,17098
2300408,Aiuaba - CE,2017,17194
2300408,Aiuaba - CE,2018,17303
2300408,Aiuaba - CE,2019,17399
2300408,Aiuaba - CE,2020,17493
2300408,Aiuaba - CE,2021,17584
2300408,Aiuaba - CE,2024,14220
2300507,Alcântaras - CE,2014,11247
2300507,Alcântaras - CE,2015,11321
2300507,Alcântaras - CE,2016,11391
2300507,Alcântaras - CE,2017,11459
2300507,Alcântaras - CE,2018,11529
2300507,Alcântaras - CE,2019,11714
2300507,Alcântaras - CE,2020,11781
2300507,Alcântaras - CE,2021,11846
2300507,Alcântaras - CE,2024,11754
2300606,Altaneira - CE,2014,7271
2300606,Altaneira - CE,2015,7344
2300606,Altaneira - CE,2016,7413
2300606,Altaneira - CE,2017,7479
2300606,Altaneira - CE,2018,7521
2300606,Altaneira - CE,2019,7586
2300606,Altaneira - CE,2020,7650
2300606,Altaneira - CE,2021,7712
2300606,Altaneira - CE,2024,6970
2300705,Alto Santo - CE,2014,16823
2300705,Alto Santo - CE,2015,16876
2300705,Alto Santo - CE,2016,16927
2300705,Alto Santo - CE,2017,16976
2300705,Alto Santo - CE,2018,17096
2300705,Alto Santo - CE,2019,17146
2300705,Alto Santo - CE,2020,17196
2300705,Alto Santo - CE,2021,16077
2300705,Alto Santo - CE,2024,14418
2300754,Amontada - CE,2014,41672
2300754,Amontada - CE,2015,42098
2300754,Amontada - CE,2016,42508
2300754,Amontada - CE,2017,42901
2300754,Amontada - CE,2018,43131
2300754,Amontada - CE,2019,43452
2300754,Amontada - CE,2020,43829
2300754,Amontada - CE,2021,44195
2300754,Amontada - CE,2024,44342
2300804,Antonina do Norte - CE,2014,7200
2300804,Antonina do Norte - CE,2015,7227
2300804,Antonina do Norte - CE,2016,7253
2300804,Antonina do Norte - CE,2017,7278
2300804,Antonina do Norte - CE,2018,7328
2300804,Antonina do Norte - CE,2019,7353
2300804,Antonina do Norte - CE,2020,7378
2300804,Antonina do Norte - CE,2021,7402
2300804,Antonina do Norte - CE,2024,7484
2300903,Apuiarés - CE,2014,14483
2300903,Apuiarés - CE,2015,14565
2300903,Apuiarés - CE,2016,14644
2300903,Apuiarés - CE,2017,14719
2300903,Apuiarés - CE,2018,14814
2300903,Apuiarés - CE,2019,14600
2300903,Apuiarés - CE,2020,14672
2300903,Apuiarés - CE,2021,14742
2300903,Apuiarés - CE,2024,13219
2301000,Aquiraz - CE,2014,76967
2301000,Aquiraz - CE,2015,77717
2301000,Aquiraz - CE,2016,78438
2301000,Aquiraz - CE,2017,79128
2301000,Aquiraz - CE,2018,79563
2301000,Aquiraz - CE,2019,80271
2301000,Aquiraz - CE,2020,80935
2301000,Aquiraz - CE,2021,81581
2301000,Aquiraz - CE,2024,84737
2301109,Aracati - CE,2014,72248
2301109,Aracati - CE,2015,72727
2301109,Aracati - CE,2016,73188
2301109,Aracati - CE,2017,73629
2301109,Aracati - CE,2018,74084
2301109,Aracati - CE,2019,74547
2301109,Aracati - CE,2020,74975
2301109,Aracati - CE,2021,75392
2301109,Aracati - CE,2024,78752
2301208,Aracoiaba - CE,2014,26062
2301208,Aracoiaba - CE,2015,26134
