cod_ibge,municipio,sexo,idade,populacao
2300101,Abaiara - CE,Total,Total,10038.0
2300101,Abaiara - CE,Total,0 a 4 anos,756.0
2300101,Abaiara - CE,Total,5 a 9 anos,701.0
2300101,Abaiara - CE,Total,10 a 14 anos,771.0
2300101,Abaiara - CE,Total,15 a 19 anos,713.0
2300101,Abaiara - CE,Total,20 a 24 anos,794.0
2300101,Abaiara - CE,Total,25 a 29 anos,841.0
2300101,Abaiara - CE,Total,30 a 34 anos,725.0
2300101,Abaiara - CE,Total,35 a 39 anos,780.0
2300101,Abaiara - CE,Total,40 a 44 anos,716.0
2300101,Abaiara - CE,Total,45 a 49 anos,637.0
2300101,Abaiara - CE,Total,50 a 54 anos,551.0
2300101,Abaiara - CE,Total,55 a 59 anos,498.0
2300101,Abaiara - CE,Total,60 a 64 anos,420.0
2300101,Abaiara - CE,Total,65 a 69 anos,332.0
2300101,Abaiara - CE,Total,70 a 74 anos,293.0
2300101,Abaiara - CE,Total,75 a 79 anos,225.0
2300101,Abaiara - CE,Total,80 a 84 anos,146.0
2300101,Abaiara - CE,Total,85 a 89 anos,86.0
2300101,Abaiara - CE,Total,90 a 94 anos,40.0
2300101,Abaiara - CE,Total,95 a 99 anos,10.0
2300101,Abaiara - CE,Total,100 anos ou mais,3.0
2300150,Acarape - CE,Total,Total,14027.0
2300150,Acarape - CE,Total,0 a 4 anos,994.0
2300150,Acarape - CE,Total,5 a 9 anos,1103.0
2300150,Acarape - CE,Total,10 a 14 anos,1124.0
2300150,Acarape - CE,Total,15 a 19 anos,1087.0
2300150,Acarape - CE,Total,20 a 24 anos,1286.0
2300150,Acarape - CE,Total,25 a 29 anos,1392.0
2300150,Acarape - CE,Total,30 a 34 anos,1140.0
2300150,Acarape - CE,Total,35 a 39 anos,1001.0
2300150,Acarape - CE,Total,40 a 44 anos,932.0
2300150,Acarape - CE,Total,45 a 49 anos,780.0
2300150,Acarape - CE,Total,50 a 54 anos,833.0
2300150,Acarape - CE,Total,55 a 59 anos,695.0
2300150,Acarape - CE,Total,60 a 64 anos,551.0
2300150,Acarape - CE,Total,65 a 69 anos,361.0
2300150,Acarape - CE,Total,70 a 74 anos,273.0
2300150,Acarape - CE,Total,75 a 79 anos,195.0
2300150,Acarape - CE,Total,80 a 84 anos,125.0
2300150,Acarape - CE,Total,85 a 89 anos,91.0
2300150,Acarape - CE,Total,90 a 94 anos,53.0
2300150,Acarape - CE,Total,95 a 99 anos,9.0
2300150,Acarape - CE,Total,100 anos ou mais,2.0
2300200,Acaraú - CE,Total,Total,65264.0
2300200,Acaraú - CE,Total,0 a 4 anos,5048.0
2300200,Acaraú - CE,Total,5 a 9 anos,5062.0
2300200,Acaraú - CE,Total,10 a 14 anos,4947.0
2300200,Acaraú - CE,Total,15 a 19 anos,5268.0
2300200,Acaraú - CE,Total,20 a 24 anos,5274.0
2300200,Acaraú - CE,Total,25 a 29 anos,5476.0
2300200,Acaraú - CE,Total,30 a 34 anos,5265.0
2300200,Acaraú - CE,Total,35 a 39 anos,5372.0
2300200,Acaraú - CE,Total,40 a 44 anos,4806.0
2300200,Acaraú - CE,Total,45 a 49 anos,4145.0
2300200,Acaraú - CE,Total,50 a 54 anos,3473.0
2300200,Acaraú - CE,Total,55 a 59 anos,2992.0
2300200,Acaraú - CE,Total,60 a 64 anos,2215.0
2300200,Acaraú - CE,Total,65 a 69 anos,1837.0
2300200,Acaraú - CE,Total,70 a 74 anos,1571.0
2300200,Acaraú - CE,Total,75 a 79 anos,1141.0
2300200,Acaraú - CE,Total,80 a 84 anos,745.0
2300200,Acaraú - CE,Total,85 a 89 anos,396.0
2300200,Acaraú - CE,Total,90 a 94 anos,164.0
2300200,Acaraú - CE,Total,95 a 99 anos,55.0
2300200,Acaraú - CE,Total,100 anos ou mais,12.0
2300309,Acopiara - CE,Total,Total,44962.0
2300309,Acopiara - CE,Total,0 a 4 anos,2650.0
2300309,Acopiara - CE,Total,5 a 9 anos,2747.0
2300309,Acopiara - CE,Total,10 a 14 anos,3314.0
2300309,Acopiara - CE,Total,15 a 19 anos,3275.0
2300309,Acopiara - CE,Total,20 a 24 anos,3180.0
2300309,Acopiara - CE,Total,25 a 29 anos,2831.0
2300309,Acopiara - CE,Total,30 a 34 anos,3079.0
2300309,Acopiara - CE,Total,35 a 39 anos,3251.0
2300309,Acopiara - CE,Total,40 a 44 anos,3361.0
2300309,Acopiara - CE,Total,45 a 49 anos,3044.0
2300309,Acopiara - CE,Total,50 a 54 anos,2773.0
2300309,Acopiara - CE,Total,55 a 59 anos,2602.0
2300309,Acopiara - CE,Total,60 a 64 anos,2342.0
2300309,Acopiara - CE,Total,65 a 69 anos,1868.0
2300309,Acopiara - CE,Total,70 a 74 anos,1698.0
2300309,Acopiara - CE,Total,75 a 79 anos,1251.0
2300309,Acopiara - CE,Total,80 a 84 anos,924.0
2300309,Acopiara - CE,Total,85 a 89 anos,499.0
2300309,Acopiara - CE,Total,90 a 94 anos,188.0
2300309,Acopiara - CE,Total,95 a 99 anos,61.0
