NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês do nascimento (Código);Mês do nascimento;Sexo (Código);Sexo;Local do nascimento (Código);Local do nascimento;Número de nascidos por parto (Código);Número de nascidos por parto;Idade da mãe na ocasião do parto (Código);Idade da mãe na ocasião do parto;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;2904979
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;24101
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;506848
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;724332
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;705520
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;572684
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;285457
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;66953
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;4238
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;417
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;0;Total;0;Total;0;Total;5413;Ignorada;45;Pessoas;14429
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;4;Homens;0;Total;0;Total;0;Total;45;Pessoas;1489408
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;4;Homens;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;12319
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;4;Homens;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;260248
