NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês de ocorrência (Código);Mês de ocorrência;Natureza do óbito (Código);Natureza do óbito;Sexo (Código);Sexo;Idade do(a) falecido(a) (Código);Idade do(a) falecido(a);Local de ocorrência (Código);Local de ocorrência;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;1273103
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5922;Menos de 1 ano;0;Total;45;Pessoas;30457
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5948;1 a 4 anos;0;Total;45;Pessoas;5494
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5953;5 a 9 anos;0;Total;45;Pessoas;3052
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5959;10 a 14 anos;0;Total;45;Pessoas;4368
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5966;15 a 19 anos;0;Total;45;Pessoas;20023
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5967;20 a 24 anos;0;Total;45;Pessoas;27370
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5968;25 a 29 anos;0;Total;45;Pessoas;25417
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5969;30 a 34 anos;0;Total;45;Pessoas;28168
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5970;35 a 39 anos;0;Total;45;Pessoas;33162
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5971;40 a 44 anos;0;Total;45;Pessoas;38024
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5972;45 a 49 anos;0;Total;45;Pessoas;48599
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5973;50 a 54 anos;0;Total;45;Pessoas;66030
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5974;55 a 59 anos;0;Total;45;Pessoas;84007
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5975;60 a 64 anos;0;Total;45;Pessoas;103070
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5976;65 a 69 anos;0;Total;45;Pessoas;116232
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5977;70 a 74 anos;0;Total;45;Pessoas;124924
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5978;75 a 79 anos;0;Total;45;Pessoas;136432
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5979;80 a 84 anos;0;Total;45;Pessoas;137488
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5980;85 anos ou mais;0;Total;45;Pessoas;238728
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;0;Total;5997;Idade ignorada;0;Total;45;Pessoas;2058
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;0;Total;0;Total;45;Pessoas;711259
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5922;Menos de 1 ano;0;Total;45;Pessoas;16651
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5948;1 a 4 anos;0;Total;45;Pessoas;2990
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5953;5 a 9 anos;0;Total;45;Pessoas;1793
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5959;10 a 14 anos;0;Total;45;Pessoas;2672
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5966;15 a 19 anos;0;Total;45;Pessoas;16480
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5967;20 a 24 anos;0;Total;45;Pessoas;22990
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5968;25 a 29 anos;0;Total;45;Pessoas;20254
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5969;30 a 34 anos;0;Total;45;Pessoas;20838
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5970;35 a 39 anos;0;Total;45;Pessoas;22907
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5971;40 a 44 anos;0;Total;45;Pessoas;25148
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5972;45 a 49 anos;0;Total;45;Pessoas;31009
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5973;50 a 54 anos;0;Total;45;Pessoas;41694
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5974;55 a 59 anos;0;Total;45;Pessoas;51978
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5975;60 a 64 anos;0;Total;45;Pessoas;62468
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5976;65 a 69 anos;0;Total;45;Pessoas;68566
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5977;70 a 74 anos;0;Total;45;Pessoas;70002
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5978;75 a 79 anos;0;Total;45;Pessoas;71731
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5979;80 a 84 anos;0;Total;45;Pessoas;65795
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5980;85 anos ou mais;0;Total;45;Pessoas;93862
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;4;Homens;5997;Idade ignorada;0;Total;45;Pessoas;1431
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;0;Total;0;Total;45;Pessoas;561515
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5922;Menos de 1 ano;0;Total;45;Pessoas;13703
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5948;1 a 4 anos;0;Total;45;Pessoas;2500
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5953;5 a 9 anos;0;Total;45;Pessoas;1259
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5959;10 a 14 anos;0;Total;45;Pessoas;1696
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5966;15 a 19 anos;0;Total;45;Pessoas;3536
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5967;20 a 24 anos;0;Total;45;Pessoas;4374
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5968;25 a 29 anos;0;Total;45;Pessoas;5159
1;Brasil;1;Brasil;343;Número de óbitos ocorridos no ano;2017;2017;0;Total;0;Total;5;Mulheres;5969;30 a 34 anos;0;Total;45;Pessoas;7326
