NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;9324;População residente estimada;2014;2014;45;Pessoas;202768562
1;Brasil;1;Brasil;9324;População residente estimada;2015;2015;45;Pessoas;204450049
1;Brasil;1;Brasil;9324;População residente estimada;2016;2016;45;Pessoas;206081432
1;Brasil;1;Brasil;9324;População residente estimada;2017;2017;45;Pessoas;207660929
1;Brasil;1;Brasil;9324;População residente estimada;2018;2018;45;Pessoas;208494900
1;Brasil;1;Brasil;9324;População residente estimada;2019;2019;45;Pessoas;210147125
1;Brasil;1;Brasil;9324;População residente estimada;2020;2020;45;Pessoas;211755692
1;Brasil;1;Brasil;9324;População residente estimada;2021;2021;45;Pessoas;213317639
1;Brasil;1;Brasil;9324;População residente estimada;2024;2024;45;Pessoas;212583750
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2014;2014;45;Pessoas;8842791
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2015;2015;45;Pessoas;8904459
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2016;2016;45;Pessoas;8963663
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2017;2017;45;Pessoas;9020460
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2018;2018;45;Pessoas;9075649
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2019;2019;45;Pessoas;9132078
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2020;2020;45;Pessoas;9187103
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2021;2021;45;Pessoas;9240580
3;Unidade da Federação;23;Ceará;9324;População residente estimada;2024;2024;45;Pessoas;9233656
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2014;2014;45;Pessoas;11226
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2015;2015;45;Pessoas;11357
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2016;2016;45;Pessoas;11483
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2017;2017;45;Pessoas;11605
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2018;2018;45;Pessoas;11663
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2019;2019;45;Pessoas;11737
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2020;2020;45;Pessoas;11853
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2021;2021;45;Pessoas;11965
6;Município;2300101;Abaiara - CE;9324;População residente estimada;2024;2024;45;Pessoas;10282
