NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Sexo (Código);Sexo;Idade (Código);Idade;Forma de declaração da idade (Código);Forma de declaração da idade;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;100362;Total;113635;Total;45;Pessoas;203080756
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93070;0 a 4 anos;113635;Total;45;Pessoas;12704860
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93084;5 a 9 anos;113635;Total;45;Pessoas;13749440
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93085;10 a 14 anos;113635;Total;45;Pessoas;13674961
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93086;15 a 19 anos;113635;Total;45;Pessoas;14375942
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93087;20 a 24 anos;113635;Total;45;Pessoas;15466463
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93088;25 a 29 anos;113635;Total;45;Pessoas;15469723
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93089;30 a 34 anos;113635;Total;45;Pessoas;15473117
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93090;35 a 39 anos;113635;Total;45;Pessoas;16172791
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93091;40 a 44 anos;113635;Total;45;Pessoas;16072170
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93092;45 a 49 anos;113635;Total;45;Pessoas;13640112
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93093;50 a 54 anos;113635;Total;45;Pessoas;12598581
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93094;55 a 59 anos;113635;Total;45;Pessoas;11569106
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93095;60 a 64 anos;113635;Total;45;Pessoas;9944389
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93096;65 a 69 anos;113635;Total;45;Pessoas;7876232
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93097;70 a 74 anos;113635;Total;45;Pessoas;5858536
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;93098;75 a 79 anos;113635;Total;45;Pessoas;3847379
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;49108;80 a 84 anos;113635;Total;45;Pessoas;2475030
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;49109;85 a 89 anos;113635;Total;45;Pessoas;1329203
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;60040;90 a 94 anos;113635;Total;45;Pessoas;579729
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;60041;95 a 99 anos;113635;Total;45;Pessoas;165178
1;Brasil;1;Brasil;93;População residente;2022;2022;6794;Total;6653;100 anos ou mais;113635;Total;45;Pessoas;37814
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;100362;Total;113635;Total;45;Pessoas;98532431
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93070;0 a 4 anos;113635;Total;45;Pessoas;6461689
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93084;5 a 9 anos;113635;Total;45;Pessoas;7011282
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93085;10 a 14 anos;113635;Total;45;Pessoas;6992746
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93086;15 a 19 anos;113635;Total;45;Pessoas;7317515
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93087;20 a 24 anos;113635;Total;45;Pessoas;7767306
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93088;25 a 29 anos;113635;Total;45;Pessoas;7627458
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93089;30 a 34 anos;113635;Total;45;Pessoas;7537285
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93090;35 a 39 anos;113635;Total;45;Pessoas;7827333
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93091;40 a 44 anos;113635;Total;45;Pessoas;7781059
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93092;45 a 49 anos;113635;Total;45;Pessoas;6549109
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93093;50 a 54 anos;113635;Total;45;Pessoas;6014391
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93094;55 a 59 anos;113635;Total;45;Pessoas;5419505
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93095;60 a 64 anos;113635;Total;45;Pessoas;4605834
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93096;65 a 69 anos;113635;Total;45;Pessoas;3588052
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93097;70 a 74 anos;113635;Total;45;Pessoas;2615350
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;93098;75 a 79 anos;113635;Total;45;Pessoas;1657786
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;49108;80 a 84 anos;113635;Total;45;Pessoas;1009852
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;49109;85 a 89 anos;113635;Total;45;Pessoas;493649
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;60040;90 a 94 anos;113635;Total;45;Pessoas;194341
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;60041;95 a 99 anos;113635;Total;45;Pessoas;50319
1;Brasil;1;Brasil;93;População residente;2022;2022;4;Homens;6653;100 anos ou mais;113635;Total;45;Pessoas;10570
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;100362;Total;113635;Total;45;Pessoas;104548325
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93070;0 a 4 anos;113635;Total;45;Pessoas;6243171
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93084;5 a 9 anos;113635;Total;45;Pessoas;6738158
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93085;10 a 14 anos;113635;Total;45;Pessoas;6682215
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93086;15 a 19 anos;113635;Total;45;Pessoas;7058427
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93087;20 a 24 anos;113635;Total;45;Pessoas;7699157
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93088;25 a 29 anos;113635;Total;45;Pessoas;7842265
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93089;30 a 34 anos;113635;Total;45;Pessoas;7935832
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93090;35 a 39 anos;113635;Total;45;Pessoas;8345458
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93091;40 a 44 anos;113635;Total;45;Pessoas;8291111
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93092;45 a 49 anos;113635;Total;45;Pessoas;7091003
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93093;50 a 54 anos;113635;Total;45;Pessoas;6584190
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93094;55 a 59 anos;113635;Total;45;Pessoas;6149601
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93095;60 a 64 anos;113635;Total;45;Pessoas;5338555
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93096;65 a 69 anos;113635;Total;45;Pessoas;4288180
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93097;70 a 74 anos;113635;Total;45;Pessoas;3243186
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;93098;75 a 79 anos;113635;Total;45;Pessoas;2189593
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;49108;80 a 84 anos;113635;Total;45;Pessoas;1465178
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;49109;85 a 89 anos;113635;Total;45;Pessoas;835554
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;60040;90 a 94 anos;113635;Total;45;Pessoas;385388
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;60041;95 a 99 anos;113635;Total;45;Pessoas;114859
1;Brasil;1;Brasil;93;População residente;2022;2022;5;Mulheres;6653;100 anos ou mais;113635;Total;45;Pessoas;27244
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;100362;Total;113635;Total;45;Pessoas;8794957
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93070;0 a 4 anos;113635;Total;45;Pessoas;574335
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93084;5 a 9 anos;113635;Total;45;Pessoas;609895
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93085;10 a 14 anos;113635;Total;45;Pessoas;618205
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93086;15 a 19 anos;113635;Total;45;Pessoas;648812
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93087;20 a 24 anos;113635;Total;45;Pessoas;701679
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93088;25 a 29 anos;113635;Total;45;Pessoas;719689
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93089;30 a 34 anos;113635;Total;45;Pessoas;699417
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93090;35 a 39 anos;113635;Total;45;Pessoas;702201
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93091;40 a 44 anos;113635;Total;45;Pessoas;665907
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93092;45 a 49 anos;113635;Total;45;Pessoas;566682
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93093;50 a 54 anos;113635;Total;45;Pessoas;517683
3;Unidade da Federação;23;Ceará;93;População residente;2022;2022;6794;Total;93094;55 a 59 anos;113635;Total;45;Pessoas;479919
